De se en teaterforestilling i weekenden.,De ser en teaterforestilling i weekenden.
Jeg arbejde på mit projekt hele dagen.,Jeg arbejder på mit projekt hele dagen.
Han spise en pizza til frokost i dag.,Han spiser en pizza til frokost i dag.
Jeg kan godt lide at gør det, Jeg kan godt lide at gøre det
Jeg gøre det bare, Jeg gør det bare
Hun træne på gymmet fem gange om ugen.,Hun træner på gymmet fem gange om ugen.
Vi besøge vores bedsteforældre i weekenden.,Vi besøger vores bedsteforældre i weekenden.
De rejse til Frankrig næste måned.,De rejser til Frankrig næste måned.
Jeg studere på universitetet i fem år.,Jeg studerer på universitetet i fem år.
Han se en god film på Netflix i går aftes.,Han ser en god film på Netflix i går aftes.
Hun snakke i telefon med sin veninde hver dag.,Hun snakker i telefon med sin veninde hver dag.
De male deres hus i sommeren sidste år.,De maler deres hus i sommeren sidste år.
Jeg lære at spille klaver som barn.,Jeg lærer at spille klaver som barn.
Han løbe en maraton for første gang i år.,Han løber en maraton for første gang i år.
Hun bage en lækker kage til sin fødselsdag.,Hun bager en lækker kage til sin fødselsdag.
Vi planlægge vores ferie i flere måneder.,Vi planlægger vores ferie i flere måneder.
De svømme i havet hver sommer.,De svømmer i havet hver sommer.
Jeg lytte til musik mens jeg arbejder.,Jeg lytter til musik mens jeg arbejder.
Han lære at tale spansk som voksen.,Han lærer at tale spansk som voksen.
Hun arbejde som læge på hospitalet.,Hun arbejder som læge på hospitalet.
De danse til musik hele natten.,De danser til musik hele natten.
Jeg rejse til Japan for at opleve kulturen.,Jeg rejser til Japan for at opleve kulturen.
Han spille fodbold med sine venner hver uge.,Han spiller fodbold med sine venner hver uge.
Hun male smukke billeder i sin fritid.,Hun maler smukke billeder i sin fritid.
Vi læse en spændende bog hver aften.,Vi læser en spændende bog hver aften.
De drikke kaffe på den lokale café hver morgen.,De drikker kaffe på den lokale café hver morgen.
Jeg se en dokumentarfilm om naturen i aften.,Jeg ser en dokumentarfilm om naturen i aften.
Han købe en gave til sin kæreste på hendes fødselsdag.,Han køber en gave til sin kæreste på hendes fødselsdag.
Hun rejse verden rundt som digital nomade.,Hun rejser verden rundt som digital nomade.
Vi gå en tur i skoven på en smuk eftermiddag.,Vi går en tur i skoven på en smuk eftermiddag.
De spille brætspil sammen hver søndag.,De spiller brætspil sammen hver søndag.
Jeg tage en tur til stranden for at nyde solen.,Jeg tager en tur til stranden for at nyde solen.
Han lave madlavning til sin familie i weekenden.,Han laver madlavning til sin familie i weekenden.
